cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence
ph,formulation,phase behavior,stability,modifies,2,2,high,effects of solution composition and pH...conducted to explore the phase behavior of this antibody
administration of murine mab 17-1a,structure,development of anti-drug antibodies (ADA),quality_outcome,induces,2,1,high,"Of the 14 evaluable patients, 13 developed human antibody to murine 17-1A"
solubility,stability,biological activity,quality_outcome,decreases,2,2,high,"insolubility issues can negatively impact drug stability, activity, bioavailability, and immunogenicity."
purification process,stress,aggregation,stability,promotes,2,2,high,"aggregation ... can happen at different steps of the manufacturing process, including ... purification"
instability,stability,immunogenicity,quality_outcome,induces,2,2,high,it will ... even cause immunogenic reactions thus potentially further endangering the patients' health
n-glycosylation,sequence,binding,quality_outcome,decreases,2,2,high,a moderate decrease (20%) in C1q binding
n-glycosylation,sequence,fcrn binding,quality_outcome,correlates,2,2,high,nor does it impact neonatal Fc receptor binding
excipients,formulation,oxidative stress,stability,inhibits,2,1,high,An excipient screening study demonstrated that Trp ... could effectively reduce protein aggregation due to oxidative str
oxidative stress,stress,hmw species,stability,induces,2,2,high,Size-exclusion chromatography and multi-angle light scattering showed that the soluble aggregates induced by AAPH consis
monoclonal antibody,structure,cytotoxic payload,quality_outcome,binds,2,2,high,mAbs act as carriers for a cytotoxic payload
residual host cell proteins (HCPs),structure,polysorbate 20,formulation,degrades,2,2,high,"enzymatic hydrolysis of PS-a process driven by residual host cell proteins, especially lipases."
residual host cell proteins (HCPs),formulation,drug product stability,stability,destabilizes,2,2,medium,residual HCPs might affect product stability or safety
structural mechanisms,structure,polyspecificity,quality_outcome,promotes,2,1,high,summarize the current state of understanding of structural mechanisms underpinning the different phenomena that may driv
polyspecificity,quality_outcome,risk of failure in therapeutic development,quality_outcome,increases,2,1,high,relate current key findings to the risk of failure in therapeutic development (phenomena that may drive polyreactivity)
igg1,structure,disulfide bond,stability,correlates,2,2,high,"Both therapeutic IgG1 and human blood plasma IgG1 follow a heavy-heavy-light chain (HHL) pathway, featured with HHL and "
protein-protein interactions,structure,second virial coefficient,quality_outcome,correlates,2,2,high,"""These data are correlated with the second virial coefficient"""
physicochemical properties,stability,biological activity,quality_outcome,correlates,2,2,high,"The primary and higher order structures, physicochemical properties, and biological activity of HS016 and adalimumab wer"
bottom-mounted magnetic stirrer,stress,shear stress,stress,induces,2,2,high,stirring using a traditional bottom-magnetic type stirrer results in... microparticles arising from shear stress on prot
liquid-liquid phase separation,stability,increased viscosity,stability,increases,2,2,high,The viscosity of the heavy phase was high
freezing,stress,cryo-concentration,stability,induces,2,2,high,Proteins are known to undergo... cryoconcentration... during freezing
protein-protein interactions,structure,phase behavior,stability,modifies,2,2,high,Protein-protein interactions...are used to interpret the phase behavior
high antibody concentration,formulation,viscosity,stability,increases,2,2,high,Concentrated monoclonal antibody solutions exhibit high solution viscosity.
surfactant,formulation,surface adsorption,stability,inhibits,2,2,high,Surfactants are used to limit adsorption losses.
chemical stability,stability,efficacy,quality_outcome,modifies,2,2,high,"This may predispose the product to aggregation and other chemical modifications, which can alter the binding affinity, h"
heat-induced degradation,stress,aggregation,stability,promotes,2,2,medium,Most individual methods revealed a linear correlation with increasing amounts of HDM... impact of structural change and/
silicone oil interface,formulation,aggregation,stability,correlates,2,2,medium,the extent of aggregation was affected by ... presence of silicone oil
receptor-mediated endocytosis/internalization,stability,clearance,stability,increases,2,1,high,Avelumab is cleared faster and has a shorter half-life than other anti-PD-L1 antibodies.
polysorbate degradation,formulation,free fatty acids,formulation,modifies,2,2,high,PS ... can partially hydrolyze over time in liquid drug products to generate degradants ... composed of free fatty acids
spray drying,formulation,formulation,formulation,requires,2,2,high,spray drying was used to manufacture a dry powder pulmonary formulation of bevacizumab.
administration of immunotoxin (multiple doses),formulation,binding activity,quality_outcome,induces,2,1,high,The administration of immunotoxin resulted in the appearance of anti-mouse and antiricin A chain immunoglobulin binding 
binding affinity,stability,solubility,stability,correlates,2,1,medium,ΔG showed superior ability in distinguishing protein solubility for these formulations.
oxidative stress,stress,stability,stability,destabilizes,2,2,high,Chimeric BR96 (chiBR96) is an oxidant sensitive... monoclonal antibody.
shear stress,stress,disulfide bond,stability,induces,2,2,high,observed excessive mechanical cell shear as well as significant reduction of the antibody's interchain disulfide bonds d
ph,formulation,charge variants,quality_outcome,modifies,2,2,high,"A number of separation parameters were investigated and optimized, including pH"
deamidation,sequence,net charge,quality_outcome,correlates,2,2,high,but remained nearly the same for the different variants
deamidation,sequence,binding affinity,quality_outcome,correlates,2,2,high,higher binding constants determined for the less deamidated forms
ph,formulation,selective binding between deamidated variants,quality_outcome,prevents,2,1,high,No selectivity between the different deamidated forms was seen at pH 5
elevated temperature,stress,liquid-liquid phase separation,stability,inhibits,2,2,high,The two phases became reversibly miscible when ... temperature was increased
high concentration,formulation,physicochemical stability,stability,destabilizes,2,2,medium,"a high protein concentration (>=50mg/mL) poses a challenge...Colloidal properties, physical and chemical protein stabili"
oleic acid,formulation,protein particle formation,quality_outcome,induces,2,1,high,co-existence of either fatty acids with 10mg/mL mAb A can cause protein particles
lower dissolved oxygen,stress,glycan content,quality_outcome,increases,2,1,high,Prominent increases in the relative amounts of agalactosyl chains... at lower DO.
sedimentation interaction parameter,stability,second virial coefficient,stability,correlates,2,1,high,"The concentration-dependence of the diffusion and sedimentation coefficients (k(D) and k(s), respectively) can be used t"
diffusion interaction parameter,stability,second virial coefficient,stability,correlates,2,1,high,"The concentration-dependence of the diffusion and sedimentation coefficients (k(D) and k(s), respectively) can be used t"
low ph,formulation,precipitation,stability,precipitates,2,2,high,At low pH irreversible precipitation occurred.
melting temperature,formulation,protein unfolding,stability,requires,2,2,high,DSF utilizes SYPRO Orange... to monitor protein unfolding.
thermal stability,structure,thermal stability,stability,stabilizes,2,2,high,"The BsAbs, which were engineered for thermal stability"
conformational stability,structure,denaturation,stability,inhibits,2,2,medium,Other domains showed intermediate resistance to the denaturant concentration
thermal denaturation,stress,conformational stability,stability,unfolds,2,2,high,determine the conformational ... stability of therapeutic monoclonal antibodies (mAbs) during thermal denaturation.
amino acid oxidation,sequence,oxidation,quality_outcome,prevents,2,2,medium,the lack of separation of oxidized variants in Ab-B can be explained by the absence of CDR oxidation
glycan,structure,half-life,stability,stabilizes,2,2,high,The results ... indicate that the carbohydrate residues contribute only in part to the survival of IgG in vivo
glycosylation variants,sequence,charge variants,quality_outcome,modifies,2,2,high,Major mAb glycoforms of each charge variants were resolved and identified in the deconvoluted mass spectra.
aggregation propensity,structure,colloidal stability,stability,destabilizes,2,1,high,"reduced colloidal stability, indicated by increased attractive forces"
manufacturing process,formulation,n-glycosylation,sequence,modifies,2,2,high,The profile of asparagine linked carbohydrates is greatly dependent on the manufacturing process
n-glycosylation,sequence,effector function,quality_outcome,modifies,2,2,high,The effector function and clearance time of such glycoprotein drugs is affected by their N-glycosylation
methionine,formulation,methionine oxidation,sequence,shields,2,2,high,use of excess methionine (Met) to protect mAb met residues from AAPH oxidation... greatly decreased the modification of 
elevated temperature,stress,monomer content,stability,decreases,2,2,high,stressed storage conditions (40 degrees C over 3 months) ... including the loss of monomeric species
aglycosylation,sequence,binding affinity,quality_outcome,correlates,2,2,high,aGcB72.3 and cB72.3 mAbs have comparable binding properties to TAG-72
aglycosylation,sequence,antibody-dependent cellular cytotoxicity (ADCC),quality_outcome,inhibits,2,2,high,aglycosylation ... eliminates antibody-dependent cell-mediated cytotoxicity activity
buffer type,formulation,aggregation,stability,modifies,2,2,high,comparative analysis of two buffer systems ... revealed differences in mAb aggregation under identical pH conditions
ph,formulation,instability,stability,destabilizes,2,2,high,Stability of the biologic in frozen solutions is associated with a number of issues including potentially destabilizing 
fab fragments,structure,efficacy,quality_outcome,modifies,2,2,medium,"may avoid side effects, but also largely modify the in vivo half-life and effectiveness of these reagents"
fc engineering for effector silencing,sequence,biological activity,quality_outcome,inhibits,2,1,high,Fc-engineering for silencing Fc-mediated effector functions
bi-1206 (anti-fcgammar iib antibody),structure,efficacy,quality_outcome,stabilizes,2,1,high,BI-1206 significantly enhanced the in vivo anti-MCL efficacy of rituximab-ibrutinib (p=0.05) and rituximab-venetoclax (p
immunogenicity,quality_outcome,immune complexes,structure,induces,2,2,high,Generation of anti-drug antibodies (ADAs) can lead to formation of immune complexes (ICs)
freeze-drying,stress,stability,stability,destabilizes,2,2,medium,issues with stability may arise when more labile materials are freeze-dried
cdr-h3,sequence,binding activity,structure,stabilizes,2,2,medium,small enhancement in the contribution played by the CDR-H3 region to the b12-gp120 interface
production,stress,post-translational modifications,sequence,increases,2,2,high,"accumulated during production, formulation and storage"
process conditions,formulation,biological activity,quality_outcome,correlates,2,2,medium,"despite observed variations in process performance, ... biological and immunological functions ... were largely comparab"
mild tyrosine nitration,sequence,thermal stability,stability,decreases,2,1,medium,assessed using differential scanning fluorimetry to measure ligand affinities via ligand-induced thermal stabilization; 
calcium,formulation,binding activity,structure,requires,2,2,high,The binding of Z to antibodies is regulated by calcium
polysorbate degradation,formulation,fatty acids,formulation,modifies,2,2,high,fatty acids ... as a result of polysorbate degradation
n-glycosylation,sequence,product heterogeneity,quality_outcome,promotes,2,2,high,an occupied glycosylation site in FR3 can contribute to ... product heterogeneity
high viscosity,stability,injectability,quality_outcome,increases,2,2,medium,cryo-milled powder showed higher viscosities and were not injectable at the same concentration
dehydration,stress,higher-order structure,structure,modifies,2,1,medium,"The impact of ... dehydration on the structure, dynamics, and stability of these mAb crystals in the formulation environ"
charge variants,sequence,in vivo stability,stability,degrades,2,2,high,"extra C-term Lysin residues, which are prone to enzymatic degradation in the body"
treatment with 17-1a mab,formulation,immunogenicity,quality_outcome,correlates,2,1,medium,The formation of ab3 was analyzed in eight patients and proved to be negative in all of them
long-term stability,stress,pharmacokinetics,quality_outcome,prevents changes in pharmacokinetics,2,2,high,No significant differences ... pharmacokinetics in mice.
cysteine treatment (on-column),formulation,disulfide bond,structure,prevents,2,1,high,converted to intact disulfide bonds ... without disulfide scrambling or an increase in free sulfhydryls.
isomerization,structure,stability,stability,modifies,2,2,medium,potential molecular switch mechanism at position 95 that links CDR-L3 structural diversity and antibody stability
dtpa,formulation,oxidation,stability,inhibits,2,2,high,DTPA was equivalent to Na(2)EDTA with respect to inhibiting iron-induced degradation ... oxidation
edta,formulation,fragmentation,stability,inhibits,2,2,high,Real-time stability attributes such as ... fragmentation demonstrated that DTPA was equivalent to Na(2)EDTA with respect
fcrn,structure,extended persistence in vivo,stability,stabilizes,2,2,high,The key molecule responsible for the extended persistence antibodies is the major histocompatibility complex class I fam
buffer composition,formulation,denaturation,stability,denatures,2,2,high,were denatured ... in the presence of 0.5-4 M urea
aglycosylation,sequence,aggregation,stability,promotes,2,2,medium,confirmed by experimenting with an IgG1 molecule containing an aglycosylated C(H)2 domain
igg1,sequence,aggregation,stability,inhibits,2,2,high,"At 25 degrees C, IgG1s were resistant to low pH aggregation"
salt concentration,formulation,aggregation,stability,promotes,2,2,high,IgG2s aggregated readily in the presence of salt
glycosylation,sequence,effector functions,quality_outcome,modifies,2,2,medium,mAb glycosylation ... may impact on their effector functions
peristaltic pumping,stress,protein particle formation,quality_outcome,promotes,2,2,high,Peristaltic pumping has been identified as a cause for protein particle formation
ligand binding,structure,methionine oxidation,sequence,shields,2,1,high,with some methionine residues protected while others are exposed to oxidation
post-translational modifications,sequence,charge variant distribution,quality_outcome,modifies,2,2,high,"Post-translational modifications (""PTMs"") in monoclonal antibodies (mAbs) contribute to charge variant distribution"
net charge,sequence,self-association,stability,decreases,2,2,high,most low self-association variants possess negatively charged variable domains
temperature,stress,association volume,stability,correlates,2,1,high,for two... complexes ... we find little temperature dependence to the association volume
amino acid sequence variant,sequence,product heterogeneity,quality_outcome,increases,2,2,high,An amino acid sequence variant is defined as an unintended amino acid sequence change and contributes to product heterog
forced degradation,stress,asparagine deamidation,stability,promotes,2,2,high,Asn55 and its surrounding residues are responsible for the different CEX behavior and instability of mAb1 following forc
fab region,structure,aggregation,stability,promotes,2,2,medium,"Consequently, it was possible to address the role of specific mAb regions in antibody aggregation by co-incubating Fab a"
nucleation and growth,stability,aggregation,stability,promotes,2,2,high,"""nucleation and growth as well as ... the formation of higher order assemblies/aggregates"""
polysorbate 80,formulation,drug product stability,stability,stabilizes,2,2,high,a commonly used stabilizing excipient in therapeutic drug solutions
isomerization,stability,degradation,stability,promotes,2,2,high,Isomerization of a monoclonal antibody is one of the common routes of protein degradation.
buffer composition,formulation,polysorbate degradation,stability,modifies,2,2,high,the kinetics of PS80 oxidation was pH-dependent in presence of histidine buffer
glycosylation pattern,sequence,critical quality attribute,quality_outcome,modifies,2,2,high,the PTM profile may define a set of critical quality attributes (CQAs) for the drug product
amino acid sequence,sequence,particle formation,quality_outcome,increases,2,2,medium,PTS transportation of IVIG caused large increases in protein particle concentrations
polyolefin iv bag material,formulation,particle formation,quality_outcome,increases,2,1,high,The increases were greater in IV solutions in PO than those in PVC bags
glycation,stability,potency,quality_outcome,decreases,2,2,medium,"when glycation occurs on complementarity-determining regions (CDRs) ... its biological activities (e.g., potency) may be"
thermal stability,stability,efficacy,quality_outcome,decreases,2,2,high,"low thermostability, which impacts both efficacy"
methionine,structure,oxidation susceptibility,stability,correlates,2,1,high,determinants of local solvent exposure of methionine residues showed good correlation of WCN with experimentally determi
edta,formulation,renal radioactivity,quality_outcome,decreases,2,1,high,The levels of hepatic and renal radioactivity were also subsequently decreased by CaNa2EDTA
proteinuria (upcr),stress,clearance,stability,increases,2,1,high,Proteinuria...was investigated as covariate for eculizumab clearance. The addition of UPCR as a linear covariate on clea
particle size,stability,particle size,stability,increases,2,2,high,with a concomitant increase in the overall particle size distribution over time
disulfide bond,structure,particle formation,quality_outcome,promotes,2,1,high,antibody particles were comprised of a combination of nonnative intermolecular disulfide-linked covalent as well as nonc
aggregation,stability,chemical modifications,structure,correlates,2,2,high,the aggregates ... are formed without chemical alteration of the antibody structure
protein concentration,formulation,oligomerization,structure,stabilizes,2,2,high,linked to the stabilisation of cetuximab under dimeric form by a higher protein concentration
agitation,stress,air-liquid interface,stress,correlates,2,2,high,Cetuximab aggregation under stirring... the aggregates are mainly due to an increased exposure of antibody molecules to 
culture age,stress,glycosylation pattern,sequence,modifies,2,1,high,"The proportion of short glycans increased ... with culture age (e.g., (G0F)(2) 20-35%)"
"reducing agents (e.g., dtt)",formulation,disulfide bond,structure,induces,2,2,high,treating cAC10 with reducing agents such as DTT caused preferential reduction of heavy-light chain disulfides
excipients,formulation,stable preparation for patient use,stability,stabilizes,2,2,high,excipients ... are required in order to produce a stable and safe preparation for patient use
high monoclonal antibody concentration,formulation,aggregation propensity,stability,promotes,2,2,high,highly concentrated mAb solutions always exhibit increased aggregation propensity
three naphthalene sulfonic acid derivatives,formulation,degradation,stability,inhibits,2,1,high,Three naphthalene sulfonic acid derivatives showed inhibitory activity in in vitro degradation assays using the human mo
surfactant,formulation,hydrophobic peptide signal,quality_outcome,stabilizes,2,1,high,"DDM can maximize hydrophobic peptide recovery in various samples including single cell digests, mAb clinical PK samples,"
amino acid sequence,sequence,degradation,stress,modifies,2,2,high,differences in the CDR drive differential responses to degradation that influence the antibody HOS
oxidative stress,stress,fragmentation,stability,induces,2,2,high,Hydroxyl radicals induce hinge cleavage in a human IgG1 molecule
galactose (added),formulation,binding activity,quality_outcome,inhibits,2,1,high,"On the latter, galactose totally cancelled the binding of the Unbound immunoconjugate."
terminal sialylation,structure,biological activity,quality_outcome,is required for,2,2,high,Many therapeutic proteins ... require terminal sialylation to attain full biological activity.
protein-protein interactions,structure,opalescence,quality_outcome,promotes,2,2,high,Both phenomena result from protein-protein intermolecular interactions
conformational change,structure,denaturation,structure,modifies,2,2,high,distinguished ... by the formation of nonnative structure
serum drug levels,quality_outcome,biological activity,quality_outcome,correlates,2,2,high,The C(max) of 953 microg/ml ... should provide excess WNV neutralizing activity and penetration into the brain and CSF.
ionic strength,formulation,charge distribution,structure,correlates,2,2,medium,response to different salt concentrations ... in agreement with charge distribution models
glycan content,sequence,efficacy,quality_outcome,modifies,2,2,medium,Glycan composition can impact a biotherapeutic's safety and efficacy.
low binding capacity,formulation,charge variants,quality_outcome,inhibits,2,1,high,application of membrane chromatography to separate product-related variants such as charge variants has not gained major
adsorption,stability,particle formation during peristaltic pumping,quality_outcome,promotes,2,1,high,Protein particle formation ... is due to protein film formation on the inner tubing surface
oxidation,stability,binding affinity,quality_outcome,decreases,2,2,medium,"analyzed ... surface plasmon resonance, to assess changes in ... binding affinities"
lmw species,quality_outcome,fragmentation,quality_outcome,modifies,2,2,high,assembled with the light chain to mimic the appearance of fragments identified by routine purity assays
bispecific antibodies (bsabs),structure,aggregation,stability,promotes,2,2,medium,"aggregation-prone mAbs and ""mAb-like"" next generation biopharmaceuticals, such as bispecific antibodies (BsAbs)"
polysorbate,formulation,oxidation,stability,oxidizes,2,2,high,polysorbate has also been shown to contribute to particle formation due to auto-oxidation and hydrolysis
fragmentation,sequence,binding affinity,quality_outcome,decreases,2,1,high,the variant exhibited ... a lower affinity for both neonatal Fc receptor (FcRn) and Fcgamma receptor (FcgammaR) ... lowe
rituximab,sequence,cd20,structure,binds,2,2,high,"rituximab, a chimeric mAb against CD20, is attached to the B-cell membrane-linked CD20"
lysozyme and bovine serum albumin (bsa) solutions,structure,viscosity,stability,correlates,2,1,high,the reference materials behaved like Newtonian liquids.
protein unfolding,structure,conformational change,structure,modifies,2,2,medium,adopt a more elongated conformation with a greater degree of unfolding when compared to native dimers
freezing rate,stress,higher-order structure,structure,modifies,2,1,high,Upon fast cooling (40 degrees C/min) to -80 degrees C we observe a significant increase of random coil
hmw species,stability,concentration,quality_outcome,increases,2,1,high,Removing the HMW species from mAb1 significantly decreased the CC motif chemokine level in the final mAb1 DS.
storage temperature,stress,reversible self-association,stability,modifies,2,2,high,the dimer formation-dissociation equilibrium was influenced by... storage temperature
freeze-thaw,stress,stability,stability,destabilizes,2,2,high,"stabilize sIgA2-mAb during stress studies (freeze-thaw, agitation, elevated temperature)"
ultrafiltration-diafiltration,stress,higher-order structure,stability,stabilizes,2,2,high,"renatured by dialysis, and scFv was finally purified"
denaturation,formulation,protein unfolding,structure,unfolds,2,2,high,the inclusion body was solubilized and denatured in the presence of 8 M urea
denaturation,stress,conformational stability,structure,stabilizes,2,2,medium,purified by a three-step process including a denaturation-renaturation step... After refolding the C(H)2 domain
amino acid sequence,sequence,clearance,stability,increases,2,2,high,"The mutant was eliminated rapidly from BALB/c mice, with a beta-phase half-life of 33.8 h, compared to 134.2 h for chTNT"
adsorption,structure,higher-order structure,structure,correlates,2,2,high,protein coupling to chromatography particles had no relevant influence on the three-dimensional native structure of the 
particle formation,stress,precipitation,stress,increases,2,2,high,small number of particles that would be required to generate soluble tungsten levels needed to coagulate this antibody a
aggregation,stability,structural alterations,structure,modifies,2,2,high,"The dye displayed high sensitivity to structurally altered, aggregated IgG structures compared to the native form."
anti-drug antibodies,quality_outcome,infusion reactions,quality_outcome,correlates,2,2,medium,The presence of ATIs is weakly and variably associated with ... infusion reactions
filter material,structure,adsorption,quality_outcome,modifies,2,2,high,"the extent of protein adsorption differed with filter materials,"
fc region,sequence,fragmentation,stability,induces,2,2,high,followed by electron transfer to the upper hinge residues (leading to cleavage)
in-006,formulation,nebulization,stability,prevents,2,1,high,"IN-006, a reformulation of regdanvimab, was stably nebulized across a wide range of concentrations, with no...formation "
heat stress,stress,silicone oil interface,structure,modifies,2,1,high,Autoclavation turned the initially homogenous silicone coating into an incoherent surface with uneven microstructure
omicron subvariants,sequence,biological activity,quality_outcome,promotes,2,1,high,The Omicron subvariants escape most antibodies
forced degradation,stress,aggregation,stability,induces,2,2,medium,Stability studies... performed using forced degradation conditions... formation of aggregates... was characterized
"physiological-like conditions (37°c, pH 7.4)",stress,asp isomerization,stability,decreases,2,2,high,"complete hydrolysis of succinimide was observed at physiological conditions (pH 7.4, 37 degrees C)."
asp isomerization,stability,binding activity and biological activity,quality_outcome,decreases,2,1,high,the succinimide variant exhibited a loss in target binding and biological activity compared to the aspartic acid and iso
twin-column continuous chromatography system,formulation,charge variants,quality_outcome,modifies,2,1,high,acidic and basic charge variants were persistently produced under stepwise elution using a customized twin-column contin
fe(iii)-containing histidine buffer,formulation,fragmentation,stability,promotes,2,2,high,Visible light-induced heavy chain fragmentation ... mediated by an Fe(III)-containing histidine buffer
visible light,stress,oxidation,structure,induces,2,2,medium,reactions are proposed to involve the generation of an intermediary alkoxyl radical
asp isomerization,sequence,degradation,stability,induces,2,2,high,"isomerization of aspartic acid residues, two ubiquitous degradation pathways detected in antibodies"
salts added to the formulations,formulation,aggregation,stability,induces,2,2,high,The elevated aggregation levels induced by salt ... could be successfully predicted by this thermal stability screening
elevated temperature,stress,hydrophobicity,structure,induces,2,2,high,"measuring the fluorescence ... at gradually increasing temperatures, and obtaining the transition temperature of exposur"
tumour-bearing status,stress,immunogenicity,quality_outcome,binds,2,1,high,Tumour-bearing rats also had serum IgM antibodies which bound to mAb MT10:21 in vitro
light exposure,stress,melting temperature,stability,decreases,2,1,high,main modifications... correlate to the... decrease in its Tm
light exposure,stress,complement-dependent cytotoxicity potency,quality_outcome,decreases,2,1,high,main modifications... correlate to... decrease in complement-dependent cytotoxicity (CDC) potency
concentration,formulation,precipitation yield,quality_outcome,modifies,2,1,high,Precipitation yield was influenced by ... the concentration of the precipitant
ionic strength,formulation,diffusion interaction parameter,stability,modifies,2,2,high,Change in k(D) values with increase in ionic strength corroborated ... interactions were electrostatic in origin
binding affinity,stability,potency,quality_outcome,modifies,2,2,medium,is responsible for veltuzumab's lower off-rate and apparent improved potency in preclinical models
binding affinity,stability,complement-dependent cytotoxicity (CDC),quality_outcome,modifies,2,2,medium,veltuzumab has significantly reduced off-rates ... as well as increased complement-dependent cytotoxicity in 1 of 3 cell
immunogenicity,quality_outcome,tolerability,quality_outcome,correlates,2,2,high,"Antibodies developed before the 2nd and the 3rd infusion, and their appearance was strictly related to the timing of the"
ph,formulation,association rate constant (HyHEL-5:lysozyme),stability,correlates,2,1,high,"their association rate constant depends on pH, increasing linearly in the pH range 6-8"
diffusion interaction parameter,stability,electrostatic repulsion,structure,correlates,2,2,high,Change in k(D) values with increase in ionic strength corroborated that the interactions were electrostatic in origin
protein-protein interactions,structure,physical stability,stability,destabilizes,2,2,high,These interactions lead to ... challenges in maintaining the physical stability of proteins in solution.
oxidation,stress,autoantibody activities,quality_outcome,induces,2,1,high,found to develop autoantibody activities after oxidation
ph,formulation,precipitation,stability,prevents,2,2,medium,"concentrations of 14 to 20% w/v, pH 6.5, gave optimal levels of yield and purity"
neonatal Fc receptor (FcRn),structure,pharmacokinetics,stability,prevents,2,2,medium,"certain organs, such as the central nervous system, may be protected by FcRn"
disulfide bond,structure,structural heterogeneity,structure,correlates,2,2,medium,Mass spectral characterization data and reduction data suggested that the heterogeneity is disulfide related.
time post-dosing,stress,immunogenicity,quality_outcome,correlates,2,2,high,general increase in affinity over time ... general increase in proportion of high affinity ADA over time
proline amidation,sequence,basic variants,quality_outcome,modifies,2,2,high,basic variants were identified as ... proline amidation
product-related impurities,quality_outcome,aggregation,stability,correlates,2,2,high,Product-related impurities in the form of aggregates and charge variants were also confirmed to be similar
formulation,formulation,subvisible particle formation,quality_outcome,prevents,2,2,high,HPbetaCD ... prevents subvisible particle formation compared to PS 80.
formulation,formulation,agitation stress,stability,decreases,2,2,high,HPbetaCD also reduces both agitation ... protein aggregation compared to PS 80.
adsorption to silicone oil-water interface,formulation,particle entry into infusion,quality_outcome,increases,2,1,medium,"if siliconized syringes are used, they should be washed once with saline solution to minimize particle entry"
short-range attractions,structure,particle size,structure,modifies,2,1,high,"The influence of short-range, anisotropic attractions ... on cluster properties is investigated"
clusters,stability,viscosity,stability,increases,2,2,high,formation of clusters that increase viscosity
fragmentation,stability,stability,quality_outcome,degrades,2,2,high,"Fragmentation is a major degradation pathway ubiquitous to all therapeutic monoclonal antibody (mAb) and therefore, moni"
adsorption,stress,formulation stability,stability,destabilizes,2,2,medium,particularly when the adsorbed proteins are subjected to the surface flow
adsorption,stress,protein particle formation,quality_outcome,decreases,2,2,high,importance of formulation development to reduce protein particle formation by avoidance of adsorption to interfaces
pnpe,formulation,glycan content,quality_outcome,decreases,2,1,high,"PNPE had the most profound effect, with G0F decreasing by 8.7%"
bis-ans,formulation,aggregation,quality_outcome,correlates,2,2,high,"the FDs Bis-ANS and CCVJ were able to robustly detect from, at least, 2.5% to 10% of aggregation."
fab fragments,structure,storage stability,stability,stabilizes,2,1,high,"formulated MS-Hu6, particularly its Fab domain, displayed thermal and monomeric storage stability for more than 90 days "
methionine,formulation,colloidal stability,stability,stabilizes,2,2,high,The addition of the antioxidant L-methionine ... improved the formulation's long-term colloidal and thermal stability.
denaturation,formulation,disulfide bond,structure,modifies,2,2,high,solubilizing the IBs with 6 M GdmCl and 0.1 M DTE to reduce all disulfide bonds
freeze-thaw,stress,particle formation,quality_outcome,promotes,2,2,high,Aggregation after freeze-thawing was manifested primarily in particle formation in the mum range.
potency,quality_outcome,efficacy,quality_outcome,stabilizes,2,2,high,could be a powerful approach to improve the therapeutic efficacy... by increasing their inhibitory potency for blocking 
polysorbate 20,formulation,viscosity,stability,increases,2,2,high,the bulk viscosity increases slightly when Mab solutions contained polysorbate 20.
adsorption,structure,air-water interface,structure,adsorbs,2,2,high,we hypothesize that monoclonal antibodies form a thin protein layer at the air-water interface; surface tension analysis
polysorbate 20,formulation,air-water interface,structure,prevents,2,2,high,polysorbate 20 can prevent their interaction with the air-water interface.
thermal stress,stress,post-translational modifications,stability,promotes,2,2,high,post-translational modification upon thermal stress conditions.
storage conditions,stress,physicochemical stability,stability,stabilizes,2,1,high,All experiments showed physicochemical and microbiological stability of durvalumab vial leftovers for at least 14 days w
spray drying,formulation,residual moisture content,formulation,modifies,2,2,high,while the residual moisture content was within a desirable range between 1% and 3%
particle formation,quality_outcome,efficacy,quality_outcome,decreases,2,2,high,significantly impact drug efficacy
polysorbate,formulation,aggregate amount,quality_outcome,decreases,2,2,high,Sugar-based additives exhibited a higher degree of variation ... as compared to polysorbate additives
immunogenicity,quality_outcome,adverse events,quality_outcome,increases,2,2,high,"ADAs, being associated with adverse events"
freezing,stress,crystallization,structure,induces,2,1,high,"Upon freezing, crystallization of disodium phosphate hydrogen dodecahydrate (NaHPO12HO, DPDH) ... was identified using P"
mannitol,formulation,stability,stability,modifies,2,2,medium,"Mannitol displays little, if any, stabilizing ability in this system"
plasma stability,sequence,fragmentation,stability,prevents,2,1,high,ODC peptides ... are resistant to cleavage by enzymes present in the plasma and the tumor.
baseline c-reactive protein level,stress,clearance,quality_outcome,modifies,2,2,high,"Body weight, antibody-to-golimumab status, baseline C-reactive protein level, and smoking status were identified as sign"
ph gradient,formulation,charge variants,quality_outcome,modifies,2,2,high,pH-gradients that separate closely related antibody species
air-water interface,stress,particle formation,stress,correlates,2,2,medium,acted independently of the effects of microparticles
adsorption to cellulose,stress,higher-order structure,structure,stabilizes,2,1,high,mAb tertiary structure was near-native when adsorbed to ... cellulose
adsorption to glass,stress,higher-order structure,structure,stabilizes,2,1,high,mAb tertiary structure was near-native when adsorbed to glass
air-water interface,stress,aggregation,stability,promotes,2,2,high,exposure to the air-water interface was a significant cause of aggregation
elevated temperature,stress,particle size,stability,increases,2,2,high,"Aggregates smaller than 30nm were measured (DLS), next to slightly elevated particle levels in the mum range."
acidic conditions,stress,degradation,stability,promotes,2,2,high,Acidic and basic conditions had the most intensive effect on the degradation of the adalimumab
"co-expression of igg with beta1,3-galt",sequence,glycosylation,sequence,modifies,2,1,high,"co-expressed with beta1,3-GALT demonstrated that there was an increased efficiency of galactosylation"
